Parameter/Date,31 March 2024,30 March 2024,29 March 2024,28 March 2024,27 March 2024,26 March 2024,25 March 2024,24 March 2024,23 March 2024,22 March 2024,21 March 2024,20 March 2024,19 March 2024,18 March 2024,17 March 2024,16 March 2024,15 March 2024,14 March 2024,13 March 2024,12 March 2024,11 March 2024,10 March 2024,9 March 2024,8 March 2024,7 March 2024,6 March 2024,5 March 2024,4 March 2024,3 March 2024,2 March 2024,1 March 2024,Total
Sales,263.88,329.85,219.9,263.88,461.79,307.86,307.86,505.77,219.9,329.85,307.86,351.84,329.85,307.86,461.79,307.86,307.86,417.81,373.83,461.79,285.87,395.82,351.84,417.81,219.9,219.9,351.84,285.87,263.88,219.9,307.86,10159.38
    Organic,197.91,219.9,175.92,153.93,285.87,131.94,109.95,219.9,109.95,241.89,87.96,175.92,197.91,219.9,395.82,263.88,131.94,285.87,263.88,373.83,87.96,197.91,175.92,307.86,175.92,153.93,241.89,131.94,87.96,175.92,109.95,6091.23
    Sponsored Products (same day),65.97,109.95,43.98,109.95,175.92,175.92,197.91,285.87,109.95,87.96,219.9,175.92,131.94,87.96,65.97,43.98,175.92,131.94,109.95,87.96,197.91,197.91,175.92,109.95,43.98,65.97,109.95,153.93,175.92,43.98,197.91,4068.15
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,263.88,329.85,219.9,263.88,461.79,307.86,307.86,505.77,219.9,329.85,307.86,351.84,329.85,307.86,461.79,307.86,307.86,417.81,373.83,461.79,285.87,395.82,351.84,417.81,219.9,219.9,351.84,285.87,263.88,219.9,307.86,10159.38
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,12,15,10,12,21,14,14,23,10,15,14,16,15,14,21,14,14,19,17,21,13,18,16,19,10,10,16,13,12,10,14,462
    Organic,9,10,8,7,13,6,5,10,5,11,4,8,9,10,18,12,6,13,12,17,4,9,8,14,8,7,11,6,4,8,5,277
    Sponsored Products (same day),3,5,2,5,8,8,9,13,5,4,10,8,6,4,3,2,8,6,5,4,9,9,8,5,2,3,5,7,8,2,9,185
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,12,15,10,12,21,14,14,23,10,15,14,16,15,14,21,14,14,19,17,21,13,18,16,19,10,10,16,13,12,10,14,462
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
