Parameter/Date,31 July 2023,30 July 2023,29 July 2023,28 July 2023,27 July 2023,26 July 2023,25 July 2023,24 July 2023,23 July 2023,22 July 2023,21 July 2023,20 July 2023,19 July 2023,18 July 2023,17 July 2023,16 July 2023,15 July 2023,14 July 2023,13 July 2023,12 July 2023,11 July 2023,10 July 2023,9 July 2023,8 July 2023,7 July 2023,6 July 2023,5 July 2023,4 July 2023,3 July 2023,2 July 2023,1 July 2023,Total
Sales,417.81,351.84,329.85,241.89,390.44,263.88,241.89,593.73,219.9,351.84,373.83,263.88,307.86,483.78,439.8,395.82,307.86,263.88,461.79,461.79,659.7,417.81,505.77,329.85,527.76,461.79,659.7,681.69,395.82,549.75,329.85,12682.85
    Organic,263.88,241.89,197.91,175.92,346.46,175.92,131.94,483.78,131.94,219.9,219.9,197.91,241.89,395.82,263.88,307.86,219.9,197.91,373.83,263.88,461.79,373.83,285.87,307.86,439.8,373.83,549.75,483.78,307.86,373.83,263.88,9274.4
    Sponsored Products (same day),153.93,109.95,131.94,65.97,43.98,87.96,109.95,109.95,87.96,131.94,153.93,65.97,65.97,87.96,175.92,87.96,87.96,65.97,87.96,197.91,197.91,43.98,219.9,21.99,87.96,87.96,109.95,197.91,87.96,175.92,65.97,3408.45
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,417.81,351.84,329.85,241.89,390.44,263.88,241.89,593.73,219.9,351.84,373.83,263.88,307.86,483.78,439.8,395.82,307.86,263.88,461.79,461.79,659.7,417.81,505.77,329.85,527.76,461.79,659.7,681.69,395.82,549.75,329.85,12682.85
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,19,16,15,11,18,12,11,27,10,16,17,12,14,22,20,18,15,12,21,21,30,19,23,15,24,21,30,31,18,25,15,578
    Organic,12,11,9,8,16,8,6,22,6,10,10,9,11,18,12,14,11,9,17,12,21,17,13,14,20,17,25,22,14,17,12,423
    Sponsored Products (same day),7,5,6,3,2,4,5,5,4,6,7,3,3,4,8,4,4,3,4,9,9,2,10,1,4,4,5,9,4,8,3,155
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
