Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Sales,206.91,275.88,137.94,321.86,275.88,367.84,206.91,137.94,321.86,229.9,160.93,390.83,160.93,160.93,252.89,259.88,252.89,367.84,183.92,298.87,321.86,298.87,252.89,321.86,229.9,367.84,298.87,321.86,252.89,298.87,114.95,8053.49
    Organic,91.96,183.92,22.99,183.92,114.95,91.96,91.96,91.96,206.91,114.95,68.97,206.91,45.98,22.99,160.93,52.97,0,275.88,22.99,22.99,137.94,183.92,22.99,206.91,114.95,183.92,91.96,114.95,68.97,160.93,68.97,3432.5
    Sponsored Products (same day),114.95,91.96,114.95,137.94,160.93,275.88,114.95,45.98,114.95,114.95,91.96,183.92,114.95,137.94,91.96,206.91,252.89,91.96,160.93,275.88,183.92,114.95,229.9,114.95,114.95,183.92,206.91,206.91,183.92,137.94,45.98,4620.99
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,206.91,275.88,137.94,321.86,275.88,367.84,206.91,137.94,321.86,229.9,160.93,390.83,160.93,160.93,252.89,259.88,252.89,367.84,183.92,298.87,321.86,298.87,252.89,321.86,229.9,367.84,298.87,321.86,252.89,298.87,114.95,8053.49
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,12,6,14,12,16,9,6,14,10,7,17,7,7,11,11,11,16,8,13,14,13,11,14,10,16,13,14,11,13,5,350
    Organic,4,8,1,8,5,4,4,4,9,5,3,9,2,1,7,2,0,12,1,1,6,8,1,9,5,8,4,5,3,7,3,149
    Sponsored Products (same day),5,4,5,6,7,12,5,2,5,5,4,8,5,6,4,9,11,4,7,12,8,5,10,5,5,8,9,9,8,6,2,201
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,12,6,14,12,16,9,6,14,10,7,17,7,7,11,11,11,16,8,13,14,13,11,14,10,16,13,14,11,13,5,350
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-118.15,-125.09,-118.93,-132.52,-169.52,-236.08,-169.16,-128.22,-139.87,-112.18,-126.74,-164.48,-234.83,-192.49,-184.03,-213.87,-204.37,-208.04,-245.87,-282.1,-238.42,-194.42,-217.52,-238.44,-257.2,-247.63,-300.24,-246.89,-191.05,-209.6,-227.35,-6075.3
    Sponsored Products,-118.15,-125.09,-118.93,-132.52,-169.52,-236.08,-169.16,-128.22,-139.87,-112.18,-126.74,-164.48,-234.83,-192.49,-184.03,-213.87,-204.37,-208.04,-245.87,-282.1,-238.42,-194.42,-217.52,-238.44,-257.2,-247.63,-300.24,-246.89,-191.05,-209.6,-227.35,-6075.3
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
