Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
Sales,390.83,459.8,413.82,367.84,390.83,344.85,275.88,206.91,321.86,321.86,344.85,321.86,252.89,275.88,321.86,252.89,252.89,137.94,229.9,229.9,298.87,367.84,390.83,252.89,459.8,390.83,252.89,137.94,413.82,275.88,367.84,9724.77
    Organic,252.89,298.87,206.91,183.92,137.94,91.96,114.95,45.98,114.95,137.94,160.93,114.95,114.95,114.95,206.91,68.97,160.93,91.96,114.95,91.96,137.94,45.98,229.9,91.96,206.91,114.95,183.92,91.96,91.96,114.95,229.9,4368.1
    Sponsored Products (same day),137.94,160.93,206.91,183.92,252.89,252.89,160.93,160.93,206.91,183.92,183.92,206.91,137.94,160.93,114.95,183.92,91.96,45.98,114.95,137.94,160.93,321.86,160.93,160.93,252.89,275.88,68.97,45.98,321.86,160.93,137.94,5356.67
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,390.83,459.8,413.82,367.84,390.83,344.85,275.88,206.91,321.86,321.86,344.85,321.86,252.89,275.88,321.86,252.89,252.89,137.94,229.9,229.9,298.87,367.84,390.83,252.89,459.8,390.83,252.89,137.94,413.82,275.88,367.84,9724.77
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,17,20,18,16,17,15,12,9,14,14,15,14,11,12,14,11,11,6,10,10,13,16,17,11,20,17,12,6,18,12,16,424
    Organic,11,13,9,8,6,4,5,2,5,6,7,5,5,5,9,3,7,4,5,4,6,2,10,4,9,5,9,4,4,5,10,191
    Sponsored Products (same day),6,7,9,8,11,11,7,7,9,8,8,9,6,7,5,8,4,2,5,6,7,14,7,7,11,12,3,2,14,7,6,233
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,17,20,18,16,17,15,12,9,14,14,15,14,11,12,14,11,11,6,10,10,13,16,17,11,20,17,12,6,18,12,16,424
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-135.82,-180.72,-256.82,-279.76,-231.69,-240.23,-244.76,-148.36,-149.58,-152.74,-202.02,-170.34,-165.28,-140.62,-160.83,-154.88,-191.47,-186.52,-195.77,-135.11,-142.02,-166.76,-160.21,-141.15,-185.06,-195.7,-155.72,-132.53,-121.5,-147.96,-190.65,-5462.58
    Sponsored Products,-135.82,-180.72,-256.82,-279.76,-231.69,-240.23,-244.76,-148.36,-149.58,-152.74,-202.02,-170.34,-165.28,-140.62,-160.83,-154.88,-191.47,-186.52,-195.77,-135.11,-142.02,-166.76,-160.21,-141.15,-185.06,-195.7,-155.72,-132.53,-121.5,-147.96,-190.65,-5462.58
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-20.23,0,0,0,0,0,0,0,0,0,0,0,0,-20.23,0,-20.23,0,0,0,-20.23,0,0,0,0,0,0,0,0,0,0,-80.92
    Refunded referral fee,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,3.45,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,13.8
    Refund commission,0,-0.69,0,0,0,0,0,0,0,0,0,0,0,0,-0.69,0,-0.69,0,0,0,-0.69,0,0,0,0,0,0,0,0,0,0,-2.76
    Refunded amount,0,-22.99,0,0,0,0,0,0,0,0,0,0,0,0,-22.99,0,-22.99,0,0,0,-22.99,0,0,0,0,0,0,0,0,0,0,-91.96
Amazon fees,-153.68,-180.8,-162.72,-144.64,-153.68,-135.6,-108.48,-81.36,-126.56,-126.56,-135.6,-126.56,-99.44,-1382.35,-126.56,-99.44,-85.49,-54.24,-90.4,-90.4,-117.52,-144.64,-153.68,-99.44,-785.68,-153.68,-99.44,-54.24,-162.72,-113.04,-158.9,-5707.54
    FBA per unit fulfilment fee,-95.03,-111.8,-100.62,-89.44,-95.03,-83.85,-67.08,-50.31,-78.26,-78.26,-83.85,-78.26,-61.49,-67.08,-78.26,-61.49,-61.49,-33.54,-55.9,-55.9,-72.67,-89.44,-95.03,-61.49,-111.8,-95.03,-61.49,-33.54,-100.62,-67.08,-89.44,-2364.57
    Referral fee,-58.65,-69,-62.1,-55.2,-58.65,-51.75,-41.4,-31.05,-48.3,-48.3,-51.75,-48.3,-37.95,-41.4,-48.3,-37.95,-37.95,-20.7,-34.5,-34.5,-44.85,-55.2,-58.65,-37.95,-69,-58.65,-37.95,-20.7,-62.1,-41.4,-55.2,-1459.35
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-1273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1273.87
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-604.88,0,0,0,0,0,0,-604.88
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.56,-14.26,-18.82
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95
Cost of goods,-76.5,-90,-81,-72,-76.5,-67.5,-54,-40.5,-63,-63,-67.5,-63,-49.5,-54,-63,-49.5,-49.5,-27,-45,-45,-58.5,-72,-76.5,-49.5,-90,-76.5,-54,-27,-81,-49.5,-67.5,-1899
    Cost of goods sold,-76.5,-90,-81,-72,-76.5,-67.5,-54,-40.5,-63,-63,-67.5,-63,-49.5,-54,-63,-49.5,-49.5,-27,-45,-45,-58.5,-72,-76.5,-49.5,-90,-76.5,-54,-27,-81,-54,-72,-1908
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
