Parameter/Date,29 February 2024,28 February 2024,27 February 2024,26 February 2024,25 February 2024,24 February 2024,23 February 2024,22 February 2024,21 February 2024,20 February 2024,19 February 2024,18 February 2024,17 February 2024,16 February 2024,15 February 2024,14 February 2024,13 February 2024,12 February 2024,11 February 2024,10 February 2024,9 February 2024,8 February 2024,7 February 2024,6 February 2024,5 February 2024,4 February 2024,3 February 2024,2 February 2024,1 February 2024,Total
Sales,285.87,175.92,527.76,329.85,373.83,351.84,417.81,307.86,285.87,351.84,373.83,461.79,373.83,219.9,285.87,285.87,351.84,417.81,395.82,417.81,329.85,549.75,263.88,395.82,395.82,373.83,329.85,351.84,395.82,10379.28
    Organic,175.92,131.94,307.86,131.94,329.85,219.9,285.87,197.91,219.9,263.88,307.86,241.89,153.93,197.91,197.91,131.94,219.9,329.85,241.89,219.9,175.92,417.81,175.92,219.9,197.91,109.95,241.89,197.91,197.91,6443.07
    Sponsored Products (same day),109.95,43.98,219.9,197.91,43.98,131.94,131.94,109.95,65.97,87.96,65.97,219.9,219.9,21.99,87.96,153.93,131.94,87.96,153.93,197.91,153.93,131.94,87.96,175.92,197.91,263.88,87.96,153.93,197.91,3936.21
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,285.87,175.92,527.76,329.85,373.83,351.84,417.81,307.86,285.87,351.84,373.83,461.79,373.83,219.9,285.87,285.87,351.84,417.81,395.82,417.81,329.85,549.75,263.88,395.82,395.82,373.83,329.85,351.84,395.82,10379.28
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,8,24,15,17,16,19,14,13,16,17,21,17,10,13,13,16,19,18,20,15,25,12,18,18,17,15,16,18,473
    Organic,8,6,14,6,15,10,13,9,10,12,14,11,7,9,9,6,10,15,11,11,8,19,8,10,9,5,11,9,9,294
    Sponsored Products (same day),5,2,10,9,2,6,6,5,3,4,3,10,10,1,4,7,6,4,7,9,7,6,4,8,9,12,4,7,9,179
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,13,8,24,15,17,16,19,14,13,16,17,21,17,10,13,13,16,19,18,20,15,25,12,18,18,17,15,16,18,473
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,1,0,0,1,0,2,0,2,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,13
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-88.75,-87.71,-98.16,-75.44,-91.41,-86.99,-80.77,-72.57,-69.18,-81.74,-76.93,-87.71,-71.74,-65.61,-72.79,-76.78,-91.77,-74.73,-82.56,-65.98,-75.08,-73.09,-72.11,-69.33,-89.15,-108.89,-90.84,-93.57,-92.04,-2363.42
    Sponsored Products,-88.75,-87.71,-98.16,-75.44,-91.41,-86.99,-80.77,-72.57,-69.18,-81.74,-76.93,-87.71,-71.74,-65.61,-72.79,-76.78,-91.77,-74.73,-82.56,-65.98,-75.08,-73.09,-72.11,-69.33,-89.15,-108.89,-90.84,-93.57,-92.04,-2363.42
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,-19.35,0,4.5,-19.35,0,-38.7,0,-38.7,0,0,0,-19.35,-19.35,-19.35,4.5,0,0,0,-19.35,-19.35,-19.35,-19.35,0,0,0,0,-242.55
    Refunded referral fee,0,0,0,3.3,0,0,3.3,0,6.6,0,6.6,0,0,0,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,42.9
    Value of returned items,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,0,0,0,-0.66,0,0,-0.66,0,-1.32,0,-1.32,0,0,0,-0.66,-0.66,-0.66,0,0,0,0,-0.66,-0.66,-0.66,-0.66,0,0,0,0,-8.58
    Refunded amount,0,0,0,-21.99,0,0,-21.99,0,-43.98,0,-43.98,0,0,0,-21.99,-21.99,-21.99,0,0,0,0,-21.99,-21.99,-21.99,-21.99,0,0,0,0,-285.87
Amazon fees,-110.37,-67.92,-203.76,-127.35,-144.33,-135.84,-161.31,-91.86,-110.37,-135.84,-144.33,-178.29,-144.33,-84.9,-110.37,-96.87,-122.34,-161.31,-152.82,-161.31,-127.35,-317.79,-90.23,-152.82,-152.82,-145.59,-129.03,-139.2,-156.6,-4057.25
    FBA per unit fulfilment fee,-67.47,-41.52,-124.56,-77.85,-88.23,-83.04,-98.61,-72.66,-67.47,-83.04,-88.23,-108.99,-88.23,-51.9,-67.47,-67.47,-83.04,-98.61,-93.42,-98.61,-77.85,-129.75,-62.28,-93.42,-93.42,-89.49,-79.53,-86.4,-97.2,-2459.76
    Referral fee,-42.9,-26.4,-79.2,-49.5,-56.1,-52.8,-62.7,-46.2,-42.9,-52.8,-56.1,-69.3,-56.1,-33,-42.9,-42.9,-52.8,-62.7,-59.4,-62.7,-49.5,-82.5,-39.6,-59.4,-59.4,-56.1,-49.5,-52.8,-59.4,-1557.6
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105.54,0,0,0,0,0,0,0,-105.54
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46,0,0,0,0,0,0,-1.46
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,0,0,0,0,0,0,13.11
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,13.5,0,0,0,0,0,0,0,0,0,0,0,0,27
    Warehouse lost manual,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Cost of goods,-58.5,-36,-108,-67.5,-76.5,-72,-85.5,-72,-58.5,-72,-76.5,-94.5,-76.5,-45,-58.5,-63,-76.5,-85.5,-81,-90,-67.5,-112.5,-54,-81,-81,-76.5,-67.5,-72,-81,-2146.5
    Cost of goods sold,-58.5,-36,-108,-67.5,-76.5,-72,-85.5,-63,-58.5,-72,-76.5,-94.5,-76.5,-45,-58.5,-58.5,-72,-85.5,-81,-90,-67.5,-112.5,-54,-81,-81,-76.5,-67.5,-72,-81,-2128.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,-4.5,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,-18
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,28.25,-15.71,117.84,40.21,61.59,61.51,70.88,71.43,9.12,62.26,37.37,101.29,81.26,24.39,24.86,29.87,41.88,100.77,79.44,100.52,59.92,27.02,28.19,73.32,53.5,42.85,42.48,47.07,66.18,1569.56
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,28.25,-15.71,117.84,40.21,61.59,61.51,70.88,71.43,9.12,62.26,37.37,101.29,81.26,24.39,24.86,29.87,41.88,100.77,79.44,100.52,59.92,27.02,28.19,73.32,53.5,42.85,42.48,47.07,66.18,1569.56
Estimated payout,86.75,20.29,225.84,107.71,138.09,129.01,156.38,143.43,67.62,134.26,113.87,195.79,157.76,69.39,83.36,92.87,118.38,181.77,160.44,190.52,127.42,139.52,82.19,154.32,134.5,119.35,109.98,119.07,147.18,3707.06
Real ACOS,31.05%,49.86%,18.6%,22.87%,24.45%,24.72%,19.33%,23.57%,24.2%,23.23%,20.58%,18.99%,19.19%,29.84%,25.46%,26.86%,26.08%,17.89%,20.86%,15.79%,22.76%,13.3%,27.33%,17.52%,22.52%,29.13%,27.54%,26.59%,23.25%,22.77%
% Refunds,0%,0%,0%,6.67%,0%,0%,5.26%,0%,15.38%,0%,11.76%,0%,0%,0%,7.69%,7.69%,6.25%,0%,0%,0%,0%,4%,8.33%,5.56%,5.56%,0%,0%,0%,0%,2.75%
Sellable returns,,,,,0%,100%,,,,,0%,,,,,,0%,100%,0%,,0%,0%,,0%,0%,,0%,,,12.5%
Margin,9.88%,-8.93%,22.33%,12.19%,16.48%,17.48%,16.96%,23.2%,3.19%,17.7%,10%,21.93%,21.74%,11.09%,8.7%,10.45%,11.9%,24.12%,20.07%,24.06%,18.17%,4.91%,10.68%,18.52%,13.52%,11.46%,12.88%,13.38%,16.72%,15.12%
