Parameter/Date,30 April 2023,29 April 2023,28 April 2023,27 April 2023,26 April 2023,25 April 2023,24 April 2023,23 April 2023,22 April 2023,21 April 2023,20 April 2023,19 April 2023,18 April 2023,17 April 2023,16 April 2023,15 April 2023,14 April 2023,13 April 2023,12 April 2023,11 April 2023,10 April 2023,9 April 2023,8 April 2023,7 April 2023,6 April 2023,5 April 2023,4 April 2023,3 April 2023,2 April 2023,1 April 2023,Total
Sales,417.81,236.01,351.84,263.88,258.03,219.9,395.82,175.92,329.85,351.84,219.9,373.83,197.91,373.83,263.88,285.87,285.87,219.9,373.83,153.93,263.88,263.88,307.86,175.92,175.92,285.87,175.92,351.84,395.82,109.95,8256.51
    Organic,329.85,214.02,307.86,219.9,148.08,197.91,351.84,153.93,263.88,307.86,131.94,285.87,175.92,307.86,153.93,175.92,175.92,153.93,329.85,87.96,219.9,219.9,175.92,131.94,175.92,241.89,131.94,285.87,307.86,109.95,6475.32
    Sponsored Products (same day),87.96,21.99,43.98,43.98,109.95,21.99,43.98,21.99,65.97,43.98,87.96,87.96,21.99,65.97,109.95,109.95,109.95,65.97,43.98,65.97,43.98,43.98,131.94,43.98,0,43.98,43.98,65.97,87.96,0,1781.19
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,417.81,236.01,351.84,263.88,258.03,219.9,395.82,175.92,329.85,351.84,219.9,373.83,197.91,373.83,263.88,285.87,285.87,219.9,373.83,153.93,263.88,263.88,307.86,175.92,175.92,285.87,175.92,351.84,395.82,109.95,8256.51
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,19,11,16,12,12,10,18,8,15,16,10,17,9,17,12,13,13,10,17,7,12,12,14,8,8,13,8,16,18,5,376
    Organic,15,10,14,10,7,9,16,7,12,14,6,13,8,14,7,8,8,7,15,4,10,10,8,6,8,11,6,13,14,5,295
    Sponsored Products (same day),4,1,2,2,5,1,2,1,3,2,4,4,1,3,5,5,5,3,2,3,2,2,6,2,0,2,2,3,4,0,81
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,19,11,16,12,12,10,18,8,15,16,10,17,9,17,12,13,13,10,17,7,12,12,14,8,8,13,8,16,18,5,376
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,2,0,0,2,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-30.94,-21.79,-19.1,-18.06,-16.83,-18.43,-25.41,-22.48,-18.39,-18.91,-17.16,-16.85,-17.24,-26.65,-19.83,-13.78,-14.49,-16.44,-19.33,-25.81,-18.08,-29.87,-20.65,-25.57,-14.87,-22.18,-18.19,-21.01,-24.54,-18.76,-611.64
    Sponsored Products,-30.94,-21.79,-19.1,-18.06,-16.83,-18.43,-25.41,-22.48,-18.39,-18.91,-17.16,-16.85,-17.24,-26.65,-19.83,-13.78,-14.49,-16.44,-19.33,-25.81,-18.08,-29.87,-20.65,-25.57,-14.87,-22.18,-18.19,-21.01,-24.54,-18.76,-611.64
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-38.7,0,0,-29.7,0,-58.05,-19.35,0,0,-19.35,0,0,0,-14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180
    Refunded referral fee,0,6.6,0,0,6.6,0,9.9,3.3,0,0,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
    Value of returned items,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
    Refund commission,0,-1.32,0,0,-1.32,0,-1.98,-0.66,0,0,-0.66,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6
