Parameter/Date,30 June 2025,29 June 2025,28 June 2025,27 June 2025,26 June 2025,25 June 2025,24 June 2025,23 June 2025,22 June 2025,21 June 2025,20 June 2025,19 June 2025,18 June 2025,17 June 2025,16 June 2025,15 June 2025,14 June 2025,13 June 2025,12 June 2025,11 June 2025,10 June 2025,9 June 2025,8 June 2025,7 June 2025,6 June 2025,5 June 2025,4 June 2025,3 June 2025,2 June 2025,1 June 2025,Total
Sales,68.97,0,0,0,0,0,0,0,22.99,229.9,160.93,413.82,321.86,344.85,344.85,367.84,229.9,229.9,367.84,137.94,597.74,160.93,344.85,252.89,137.94,275.88,183.92,252.89,344.85,275.88,6069.36
    Organic,45.98,0,0,0,0,0,0,0,0,114.95,114.95,114.95,68.97,206.91,91.96,183.92,183.92,114.95,206.91,91.96,344.85,91.96,206.91,114.95,45.98,137.94,91.96,91.96,137.94,137.94,2942.72
    Sponsored Products (same day),22.99,0,0,0,0,0,0,0,22.99,114.95,45.98,298.87,252.89,137.94,252.89,183.92,45.98,114.95,160.93,45.98,252.89,68.97,137.94,137.94,91.96,137.94,91.96,160.93,206.91,137.94,3126.64
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,68.97,0,0,0,0,0,0,0,22.99,229.9,160.93,413.82,321.86,344.85,344.85,367.84,229.9,229.9,367.84,137.94,597.74,160.93,344.85,252.89,137.94,275.88,183.92,252.89,344.85,275.88,6069.36
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,3,0,0,0,0,0,0,0,1,10,7,18,14,15,15,16,10,10,16,6,26,7,15,11,6,12,8,11,15,12,264
    Organic,2,0,0,0,0,0,0,0,0,5,5,5,3,9,4,8,8,5,9,4,15,4,9,5,2,6,4,4,6,6,128
    Sponsored Products (same day),1,0,0,0,0,0,0,0,1,5,2,13,11,6,11,8,2,5,7,2,11,3,6,6,4,6,4,7,9,6,136
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,3,0,0,0,0,0,0,0,1,10,7,18,14,15,15,16,10,10,16,6,26,7,15,11,6,12,8,11,15,12,264
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-81.09,0,0,0,0,0,0,0,-25.46,-145.26,-147.56,-188.82,-154.96,-142.78,-168.31,-140.77,-103.97,-110.62,-88.33,-99.51,-115.62,-92.56,-113.55,-114.46,-108.4,-70.39,-95.17,-99.61,-126.32,-133.05,-2666.57
    Sponsored Products,-81.09,0,0,0,0,0,0,0,-25.46,-145.26,-147.56,-188.82,-154.96,-142.78,-168.31,-140.77,-103.97,-110.62,-88.33,-99.51,-115.62,-92.56,-113.55,-114.46,-108.4,-70.39,-95.17,-99.61,-126.32,-133.05,-2666.57
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,4.5,0,0,0,-20.23,-18.47,0,0,0,0,0,0,-20.23,0,0,0,-38.7,0,4.5,0,0,0,-19.35,0,0,0,0,0,0,-107.98
    Refunded referral fee,0,0,0,0,0,3.45,3.15,0,0,0,0,0,0,3.45,0,0,0,6.6,0,0,0,0,0,3.3,0,0,0,0,0,0,19.95
    Value of returned items,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,0,0,0,0,0,-0.69,-0.63,0,0,0,0,0,0,-0.69,0,0,0,-1.32,0,0,0,0,0,-0.66,0,0,0,0,0,0,-3.99
    Refunded amount,0,0,0,0,0,-22.99,-20.99,0,0,0,0,0,0,-22.99,0,0,0,-43.98,0,0,0,0,0,-21.99,0,0,0,0,0,0,-132.94
Amazon fees,-26.19,0,0,0,7.82,0,0,0,-8.73,-87.3,-61.11,-157.14,-122.22,-130.95,-130.95,-139.68,-60.48,-87.3,-139.68,-52.38,-213.57,-61.11,-130.95,-96.03,-96.84,-104.76,-69.84,-96.03,-130.95,-104.76,-2301.13
    FBA per unit fulfilment fee,-15.84,0,0,0,0,0,0,0,-5.28,-52.8,-36.96,-95.04,-73.92,-79.2,-79.2,-84.48,-52.8,-52.8,-84.48,-31.68,-137.28,-36.96,-79.2,-58.08,-31.68,-63.36,-42.24,-58.08,-79.2,-63.36,-1393.92
    Referral fee,-10.35,0,0,0,0,0,0,0,-3.45,-34.5,-24.15,-62.1,-48.3,-51.75,-51.75,-55.2,-34.5,-34.5,-55.2,-20.7,-89.7,-24.15,-51.75,-37.95,-20.7,-41.4,-27.6,-37.95,-51.75,-41.4,-910.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.46,0,0,0,0,0,-44.46
    Warehouse lost,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,13.41,0,0,0,0,0,0,0,0,0,26.82
Cost of goods,-13.5,0,0,0,-4.5,0,0,0,-4.5,-45,-31.5,-81,-63,-67.5,-67.5,-72,-45,-45,-72,-27,-117,-31.5,-67.5,-49.5,-27,-54,-36,-49.5,-67.5,-54,-1192.5
    Cost of goods sold,-13.5,0,0,0,0,0,0,0,-4.5,-45,-31.5,-81,-63,-67.5,-67.5,-72,-45,-45,-72,-27,-117,-31.5,-67.5,-49.5,-27,-54,-36,-49.5,-67.5,-54,-1188
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-51.81,4.5,0,0,3.32,-20.23,-18.47,0,-15.7,-47.66,-79.24,-13.14,-18.32,-16.61,-21.91,15.39,20.45,-51.72,67.83,-36.45,151.55,-24.24,32.85,-26.45,-94.3,46.73,-17.09,7.75,20.08,-15.93,-198.82
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-51.81,4.5,0,0,3.32,-20.23,-18.47,0,-15.7,-47.66,-79.24,-13.14,-18.32,-16.61,-21.91,15.39,20.45,-51.72,67.83,-36.45,151.55,-24.24,32.85,-26.45,-94.3,46.73,-17.09,7.75,20.08,-15.93,-198.82
Estimated payout,-38.31,0,0,0,7.82,-20.23,-18.47,0,-11.2,-2.66,-47.74,67.86,44.68,50.89,45.59,87.39,65.45,-6.72,139.83,-13.95,268.55,7.26,100.35,23.05,-67.3,100.73,18.91,57.25,87.58,38.07,984.68
Real ACOS,117.57%,0%,0%,0%,0%,0%,0%,0%,110.74%,63.18%,91.69%,45.63%,48.15%,41.4%,48.81%,38.27%,45.22%,48.12%,24.01%,72.14%,19.34%,57.52%,32.93%,45.26%,78.58%,25.51%,51.75%,39.39%,36.63%,48.23%,43.93%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.67%,0%,0%,0%,20%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,2.27%
Sellable returns,,100%,,,,,,,,,,,,,,,,,,100%,,0%,,,,,,,,,66.67%
Margin,-75.12%,0%,0%,0%,0%,0%,0%,0%,-68.29%,-20.73%,-49.24%,-3.18%,-5.69%,-4.82%,-6.35%,4.18%,8.9%,-22.5%,18.44%,-26.42%,25.35%,-15.06%,9.53%,-10.46%,-68.36%,16.94%,-9.29%,3.06%,5.82%,-5.77%,-3.28%
ROI,-383.78%,,0%,0%,73.78%,,,0%,-348.89%,-105.91%,-251.56%,-16.22%,-29.08%,-24.61%,-32.46%,21.38%,45.44%,-114.93%,94.21%,-135%,129.53%,-76.95%,48.67%,-53.43%,-349.26%,86.54%,-47.47%,15.66%,29.75%,-29.5%,-16.67%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,71,0,0,0,0,0,0,0,20,125,152,170,139,139,145,140,103,104,98,106,100,92,119,120,113,78,104,106,123,123,2590
