Parameter/Date,30 September 2024,29 September 2024,28 September 2024,27 September 2024,26 September 2024,25 September 2024,24 September 2024,23 September 2024,22 September 2024,21 September 2024,20 September 2024,19 September 2024,18 September 2024,17 September 2024,16 September 2024,15 September 2024,14 September 2024,13 September 2024,12 September 2024,11 September 2024,10 September 2024,9 September 2024,8 September 2024,7 September 2024,6 September 2024,5 September 2024,4 September 2024,3 September 2024,2 September 2024,1 September 2024,Total
Sales,263.88,153.93,153.93,153.93,175.92,197.91,109.95,439.8,219.9,395.82,153.93,109.95,153.93,197.91,285.87,197.91,351.84,109.95,241.89,175.92,307.86,241.89,505.77,153.93,285.87,65.97,175.92,307.86,351.84,307.86,6948.84
    Organic,219.9,43.98,153.93,65.97,21.99,131.94,43.98,175.92,109.95,219.9,0,43.98,65.97,153.93,197.91,87.96,153.93,43.98,109.95,87.96,153.93,131.94,131.94,87.96,175.92,43.98,65.97,175.92,175.92,175.92,3452.43
    Sponsored Products (same day),43.98,109.95,0,87.96,153.93,65.97,65.97,263.88,109.95,175.92,153.93,65.97,87.96,43.98,87.96,109.95,197.91,65.97,131.94,87.96,153.93,109.95,373.83,65.97,109.95,21.99,109.95,131.94,175.92,131.94,3496.41
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,263.88,153.93,153.93,153.93,175.92,197.91,109.95,439.8,219.9,395.82,153.93,109.95,153.93,197.91,285.87,197.91,351.84,109.95,241.89,175.92,307.86,241.89,505.77,153.93,285.87,65.97,175.92,307.86,351.84,307.86,6948.84
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,12,7,7,7,9,9,5,20,10,18,7,5,7,9,13,9,16,5,11,8,14,11,23,7,13,3,8,14,16,14,317
    Organic,10,2,7,3,2,6,2,8,5,10,0,2,3,7,9,4,7,2,5,4,7,6,6,4,8,2,3,8,8,8,158
    Sponsored Products (same day),2,5,0,4,7,3,3,12,5,8,7,3,4,2,4,5,9,3,6,4,7,5,17,3,5,1,5,6,8,6,159
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,12,7,7,7,9,9,5,20,10,18,7,5,7,9,13,9,16,5,11,8,14,11,23,7,13,3,8,14,16,14,317
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,-49.5,0,-26.4,0,0,0,0,0,0,-36.3,0,0,0,0,0,-49.5,0,0,0,0,0,0,0,-161.7
Advertising cost,-44.09,-70.71,-65.34,-50.74,-46.24,-69.05,-41.95,-102.89,-108.31,-103.07,-65.36,-56.17,-48.79,-60.87,-54.41,-88.21,-91.45,-37.82,-56.92,-38.58,-54.41,-60.67,-130.58,-75.99,-58.69,-42.09,-55.97,-43.72,-61.04,-64.49,-1948.62
    Sponsored Products,-44.09,-70.71,-65.34,-50.74,-46.24,-69.05,-41.95,-102.89,-108.31,-103.07,-65.36,-56.17,-48.79,-60.87,-54.41,-88.21,-91.45,-37.82,-56.92,-38.58,-54.41,-60.67,-130.58,-75.99,-58.69,-42.09,-55.97,-43.72,-61.04,-64.49,-1948.62
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58.05
    Refunded referral fee,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
    Refund commission,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98
    Refunded amount,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.97
Amazon fees,-102.96,-60.06,-60.06,-60.06,-68.64,-77.22,-29.49,-164.1,-72.39,-150.44,-60.06,-42.9,-142.34,-77.22,-111.54,-77.22,-131.78,-42.9,-94.38,-68.64,-120.12,-94.38,-189.84,-60.06,-111.54,-25.74,-68.64,-120.12,-164.19,-120.12,-2769.15
    FBA per unit fulfilment fee,-63.36,-36.96,-36.96,-36.96,-42.24,-47.52,-26.4,-105.6,-52.8,-95.04,-36.96,-26.4,-36.96,-47.52,-68.64,-47.52,-84.48,-26.4,-58.08,-42.24,-73.92,-58.08,-121.44,-36.96,-68.64,-15.84,-42.24,-73.92,-84.48,-73.92,-1668.48
