Parameter/Date,31 January 2025,30 January 2025,29 January 2025,28 January 2025,27 January 2025,26 January 2025,25 January 2025,24 January 2025,23 January 2025,22 January 2025,21 January 2025,20 January 2025,19 January 2025,18 January 2025,17 January 2025,16 January 2025,15 January 2025,14 January 2025,13 January 2025,12 January 2025,11 January 2025,10 January 2025,9 January 2025,8 January 2025,7 January 2025,6 January 2025,5 January 2025,4 January 2025,3 January 2025,2 January 2025,1 January 2025,Total
Sales,528.77,436.81,344.85,367.84,712.69,735.68,735.68,459.8,367.84,298.87,551.76,413.82,597.74,390.83,597.74,574.75,551.76,643.72,574.75,735.68,758.67,413.82,321.86,482.79,643.72,482.79,551.76,758.67,689.7,620.73,712.69,17058.58
    Organic,229.9,114.95,114.95,137.94,275.88,229.9,436.81,114.95,206.91,137.94,321.86,137.94,160.93,68.97,229.9,160.93,206.91,229.9,160.93,183.92,206.91,160.93,160.93,321.86,183.92,252.89,160.93,252.89,206.91,344.85,252.89,6368.23
    Sponsored Products (same day),298.87,321.86,229.9,229.9,436.81,505.78,298.87,344.85,160.93,160.93,229.9,275.88,436.81,321.86,367.84,413.82,344.85,413.82,413.82,551.76,551.76,252.89,160.93,160.93,459.8,229.9,390.83,505.78,482.79,275.88,459.8,10690.35
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,528.77,436.81,344.85,367.84,712.69,735.68,735.68,459.8,367.84,298.87,551.76,413.82,597.74,390.83,597.74,574.75,551.76,643.72,574.75,735.68,758.67,413.82,321.86,482.79,643.72,482.79,551.76,758.67,689.7,620.73,712.69,17058.58
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,23,19,15,16,31,32,32,20,16,13,24,18,26,18,26,25,24,29,25,32,33,18,14,21,28,21,24,33,30,27,31,744
    Organic,10,5,5,6,12,10,19,5,9,6,14,6,7,4,10,7,9,11,7,8,9,7,7,14,8,11,7,11,9,15,11,279
    Sponsored Products (same day),13,14,10,10,19,22,13,15,7,7,10,12,19,14,16,18,15,18,18,24,24,11,7,7,20,10,17,22,21,12,20,465
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,23,19,15,16,31,32,32,20,16,13,24,18,26,18,26,25,24,29,25,32,33,18,14,21,28,21,24,33,30,27,31,744
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-162.68,-189.45,-141.63,-208.39,-252.21,-279.11,-292.98,-147.45,-183.89,-165.31,-171.69,-249.01,-293.18,-264.94,-226.27,-189.69,-191.17,-206.34,-239.49,-318.86,-311.09,-191.35,-156.2,-175.09,-195.02,-185.3,-278.07,-251.53,-265.06,-255.79,-269.71,-6907.95
    Sponsored Products,-162.68,-189.45,-141.63,-208.39,-252.21,-279.11,-292.98,-147.45,-183.89,-165.31,-171.69,-249.01,-293.18,-264.94,-226.27,-189.69,-191.17,-206.34,-239.49,-318.86,-311.09,-191.35,-156.2,-175.09,-195.02,-185.3,-278.07,-251.53,-265.06,-255.79,-269.71,-6907.95
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-20.23,-20.23,0,0,0,4.5,0,-40.46,4.5,0,0,-20.23,0,0,-20.23,4.5,0,-20.23,0,-20.23,0,0,0,0,0,-20.23,0,0,0,0,-168.57
    Refunded referral fee,0,3.45,3.45,0,0,0,0,0,6.9,0,0,0,3.45,0,0,3.45,0,0,3.45,0,3.45,0,0,0,0,0,3.45,0,0,0,0,31.05
    Value of returned items,0,0,0,0,0,0,4.5,0,0,4.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
    Refund commission,0,-0.69,-0.69,0,0,0,0,0,-1.38,0,0,0,-0.69,0,0,-0.69,0,0,-0.69,0,-0.69,0,0,0,0,0,-0.69,0,0,0,0,-6.21
    Refunded amount,0,-22.99,-22.99,0,0,0,0,0,-45.98,0,0,0,-22.99,0,0,-22.99,0,0,-22.99,0,-22.99,0,0,0,0,0,-22.99,0,0,0,0,-206.91
Amazon fees,-200.79,-165.87,-130.95,-139.68,-270.63,-279.36,-279.36,-174.6,-139.68,-113.49,-209.52,-142.88,-226.98,-148.41,-226.98,-218.25,-209.52,-248.47,-225.07,-288.97,-297.39,-162.41,-126.56,-189.84,-711.43,-189.53,-216.96,-298.32,-271.2,-244.08,-267.14,-7014.32
    FBA per unit fulfilment fee,-121.44,-100.32,-79.2,-84.48,-163.68,-168.96,-168.96,-105.6,-84.48,-68.64,-126.72,-95.04,-137.28,-89.76,-137.28,-132,-126.72,-151.87,-138.82,-178.57,-183.54,-100.31,-78.26,-117.39,-156.21,-117.08,-134.16,-184.47,-167.7,-150.93,-173.29,-4023.16
    Referral fee,-79.35,-65.55,-51.75,-55.2,-106.95,-110.4,-110.4,-69,-55.2,-44.85,-82.8,-62.1,-89.7,-58.65,-89.7,-86.25,-82.8,-96.6,-86.25,-110.4,-113.85,-62.1,-48.3,-72.45,-96.6,-72.45,-82.8,-113.85,-103.5,-93.15,-106.95,-2559.9
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-458.62,0,0,0,0,0,0,-458.62
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,27.36
Cost of goods,-103.5,-85.5,-67.5,-72,-139.5,-144,-144,-90,-72,-58.5,-108,-81,-117,-81,-117,-112.5,-108,-130.5,-112.5,-144,-148.5,-81,-63,-94.5,-126,-94.5,-108,-148.5,-135,-121.5,-139.5,-3348
    Cost of goods sold,-103.5,-85.5,-67.5,-72,-139.5,-144,-144,-90,-72,-58.5,-108,-81,-117,-81,-117,-112.5,-108,-130.5,-112.5,-144,-148.5,-81,-63,-94.5,-126,-94.5,-108,-148.5,-135,-121.5,-139.5,-3348
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,61.8,-24.24,-15.46,-52.23,50.35,33.21,23.84,47.75,-68.19,-33.93,62.55,-59.07,-59.65,-103.52,27.49,34.08,47.57,58.41,-22.54,-16.15,-18.54,-20.94,-23.9,23.36,-388.73,13.46,-71.5,60.32,18.44,-0.64,36.34,-380.26
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,61.8,-24.24,-15.46,-52.23,50.35,33.21,23.84,47.75,-68.19,-33.93,62.55,-59.07,-59.65,-103.52,27.49,34.08,47.57,58.41,-22.54,-16.15,-18.54,-20.94,-23.9,23.36,-388.73,13.46,-71.5,60.32,18.44,-0.64,36.34,-380.26
Estimated payout,165.3,61.26,52.04,19.77,189.85,177.21,163.34,137.75,3.81,20.07,170.55,21.93,57.35,-22.52,144.49,146.58,151.07,188.91,89.96,127.85,129.96,60.06,39.1,117.86,-262.73,107.96,36.5,208.82,153.44,120.86,175.84,2954.24
Real ACOS,30.77%,43.37%,41.07%,56.65%,35.39%,37.94%,39.82%,32.07%,49.99%,55.31%,31.12%,60.17%,49.05%,67.79%,37.85%,33%,34.65%,32.05%,41.67%,43.34%,41%,46.24%,48.53%,36.27%,30.3%,38.38%,50.4%,33.15%,38.43%,41.21%,37.84%,40.5%
% Refunds,0%,5.26%,6.67%,0%,0%,0%,0%,0%,12.5%,0%,0%,0%,3.85%,0%,0%,4%,0%,0%,4%,0%,3.03%,0%,0%,0%,0%,0%,4.17%,0%,0%,0%,0%,1.21%
Sellable returns,,0%,,,,,100%,,,100%,,0%,0%,,,,100%,,,,,,,,,,,,,,,50%
Margin,11.69%,-5.55%,-4.48%,-14.2%,7.06%,4.51%,3.24%,10.38%,-18.54%,-11.35%,11.34%,-14.27%,-9.98%,-26.49%,4.6%,5.93%,8.62%,9.07%,-3.92%,-2.2%,-2.44%,-5.06%,-7.43%,4.84%,-60.39%,2.79%,-12.96%,7.95%,2.67%,-0.1%,5.1%,-2.23%
ROI,59.71%,-28.35%,-22.9%,-72.54%,36.09%,23.06%,16.56%,53.06%,-94.71%,-58%,57.92%,-72.93%,-50.98%,-127.8%,23.5%,30.29%,44.05%,44.76%,-20.04%,-11.22%,-12.48%,-25.85%,-37.94%,24.72%,-308.52%,14.24%,-66.2%,40.62%,13.66%,-0.53%,26.05%,-11.36%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,149,165,135,187,212,223,229,121,149,146,156,193,259,220,174,175,159,184,204,274,248,184,153,153,178,160,212,194,207,204,209,5816
    Browser sessions,53,64,48,65,72,70,70,40,56,55,51,42,78,59,58,65,48,63,68,74,67,65,43,52,62,52,61,62,61,67,66,1857
    Mobile app sessions,96,101,87,122,140,153,159,81,93,91,105,151,181,161,116,110,111,121,136,200,181,119,110,101,116,108,151,132,146,137,143,3959
Unit session percentage,15.44%,11.52%,11.11%,8.56%,14.62%,14.35%,13.97%,16.53%,10.74%,8.9%,15.38%,9.33%,10.04%,8.18%,14.94%,14.29%,15.09%,15.76%,12.25%,11.68%,13.31%,9.78%,9.15%,13.73%,15.73%,13.13%,11.32%,17.01%,14.49%,13.24%,14.83%,12.79%
