Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Sales,194.87,104.93,104.93,134.91,119.92,179.88,284.81,164.89,179.88,209.86,224.85,63.96,239.85,159.9,191.88,223.86,175.89,111.93,287.82,159.9,374.11,361.32,268.59,204.66,159.9,127.92,223.86,63.96,79.95,351.78,143.91,5878.68
    Organic,179.88,104.93,104.93,119.92,119.92,179.88,284.81,164.89,179.88,209.86,224.85,63.96,239.85,159.9,191.88,223.86,175.89,111.93,287.82,159.9,374.11,361.32,268.59,204.66,159.9,111.93,223.86,63.96,79.95,255.84,79.95,5672.81
    Sponsored Products (same day),14.99,0,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,95.94,63.96,205.87
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,194.87,104.93,104.93,134.91,119.92,179.88,284.81,164.89,179.88,209.86,224.85,63.96,239.85,159.9,191.88,223.86,175.89,111.93,287.82,159.9,374.11,361.32,268.59,204.66,159.9,127.92,223.86,63.96,79.95,351.78,143.91,5878.68
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,7,7,9,8,12,19,11,12,14,15,4,15,10,12,14,11,7,18,10,29,28,21,14,10,8,14,4,5,22,10,393
    Organic,12,7,7,8,8,12,19,11,12,14,15,4,15,10,12,14,11,7,18,10,29,28,21,14,10,7,14,4,5,16,6,380
    Sponsored Products (same day),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,13
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,13,7,7,9,8,12,19,11,12,14,15,4,15,10,12,14,11,7,18,10,29,28,21,14,10,8,14,4,5,22,10,393
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-2.13,0,0,-1.34,0,-1.48,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,-1.11,0,-1.9,-1.11,0,-1.01,0,0,0,-30.12,-33.89,-74.4
    Sponsored Products,-2.13,0,0,-1.34,0,-1.48,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,-1.11,0,-1.9,-1.11,0,-1.01,0,0,0,-30.12,-33.89,-74.4
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,-25.32,0,0,0,0,0,0,0,0,0,0,-11.34,0,0,0,2.73,0,0,0,0,0,0,-33.93
    Refunded referral fee,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,6.72
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,2.73,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,0,0,-0.86,0,0,0,0,0,0,0,0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,-1.34
    Refunded amount,0,0,0,0,0,0,0,0,0,-28.78,0,0,0,0,0,0,0,0,0,0,-15.99,0,0,0,0,0,0,0,0,0,0,-44.77
Amazon fees,-83.2,-44.8,-44.8,-57.6,-51.2,-76.8,-121.6,-70.4,-76.8,-89.6,-85.71,-26.2,-98.25,-65.5,-78.6,-91.7,-72.05,-45.85,-117.9,-65.5,-176.51,-170.44,-127.47,-88.82,-65.5,-91.74,-91.7,-26.2,-32.75,-144.1,-58.95,-2538.24
    FBA per unit fulfilment fee,-53.95,-29.05,-29.05,-37.35,-33.2,-49.8,-78.85,-45.65,-49.8,-58.1,-62.25,-16.6,-62.25,-41.5,-49.8,-58.1,-45.65,-29.05,-74.7,-41.5,-120.35,-116.2,-87.15,-58.1,-41.5,-33.2,-58.1,-16.6,-20.75,-91.3,-37.35,-1626.8
    Referral fee,-29.25,-15.75,-15.75,-20.25,-18,-27,-42.75,-24.75,-27,-31.5,-33.75,-9.6,-36,-24,-28.8,-33.6,-26.4,-16.8,-43.2,-24,-56.16,-54.24,-40.32,-30.72,-24,-19.2,-33.6,-9.6,-12,-52.8,-21.6,-882.39
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.34,0,0,0,0,0,-39.34
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
