Parameter/Date,31 December 2024,30 December 2024,29 December 2024,28 December 2024,27 December 2024,26 December 2024,25 December 2024,24 December 2024,23 December 2024,22 December 2024,21 December 2024,20 December 2024,19 December 2024,18 December 2024,17 December 2024,16 December 2024,15 December 2024,14 December 2024,13 December 2024,12 December 2024,11 December 2024,10 December 2024,9 December 2024,8 December 2024,7 December 2024,6 December 2024,5 December 2024,4 December 2024,3 December 2024,2 December 2024,1 December 2024,Total
Sales,179.9,251.86,215.88,197.89,35.98,215.88,125.93,107.94,125.93,143.92,89.95,17.99,179.9,197.89,125.93,215.88,125.93,89.95,71.96,89.95,107.94,143.92,53.97,215.88,143.92,71.96,143.92,53.97,86.95,119.92,149.9,4098.69
    Organic,179.9,251.86,215.88,197.89,35.98,215.88,125.93,107.94,125.93,143.92,89.95,17.99,179.9,197.89,125.93,215.88,125.93,89.95,71.96,89.95,107.94,143.92,53.97,215.88,143.92,71.96,143.92,53.97,86.95,119.92,149.9,4098.69
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,179.9,251.86,215.88,197.89,35.98,215.88,125.93,107.94,125.93,143.92,89.95,17.99,179.9,197.89,125.93,215.88,125.93,89.95,71.96,89.95,107.94,143.92,53.97,215.88,143.92,71.96,143.92,53.97,86.95,119.92,149.9,4098.69
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,14,12,11,2,12,7,6,7,8,5,1,10,11,7,12,7,5,4,5,6,8,3,12,8,4,8,3,5,8,10,231
    Organic,10,14,12,11,2,12,7,6,7,8,5,1,10,11,7,12,7,5,4,5,6,8,3,12,8,4,8,3,5,8,10,231
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,14,12,11,2,12,7,6,7,8,5,1,10,11,7,12,7,5,4,5,6,8,3,12,8,4,8,3,5,8,10,231
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,-15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,-13.19,0,0,0,0,0,0,0,-26.29
    Refunded referral fee,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,4.95
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,0,0,0,-0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,-0.99
    Refunded amount,0,0,0,0,0,-17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.99,0,0,0,0,0,0,0,-32.98
Amazon fees,-71.3,-99.82,-85.56,-78.43,-14.26,-85.56,-49.91,-42.78,-49.91,-57.04,-35.65,-7.13,-71.3,-78.43,-49.91,-85.56,-49.91,-35.65,-28.52,-35.65,-42.78,-57.04,-21.39,-95.57,-57.04,-240.56,-57.04,-21.39,-35.2,-53.44,-66.8,-1860.53
    FBA per unit fulfilment fee,-44.3,-62.02,-53.16,-48.73,-8.86,-53.16,-31.01,-26.58,-31.01,-35.44,-22.15,-4.43,-44.3,-48.73,-31.01,-53.16,-31.01,-22.15,-17.72,-22.15,-26.58,-35.44,-13.29,-53.16,-35.44,-17.72,-35.44,-13.29,-22.15,-35.44,-44.3,-1023.33
    Referral fee,-27,-37.8,-32.4,-29.7,-5.4,-32.4,-18.9,-16.2,-18.9,-21.6,-13.5,-2.7,-27,-29.7,-18.9,-32.4,-18.9,-13.5,-10.8,-13.5,-16.2,-21.6,-8.1,-32.4,-21.6,-10.8,-21.6,-8.1,-13.05,-18,-22.5,-615.15
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212.04,0,0,0,0,0,-212.04
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.01,0,0,0,0,0,0,0,-10.01
