Parameter/Date,29 February 2024,28 February 2024,27 February 2024,26 February 2024,25 February 2024,24 February 2024,23 February 2024,22 February 2024,21 February 2024,20 February 2024,19 February 2024,18 February 2024,17 February 2024,16 February 2024,15 February 2024,14 February 2024,13 February 2024,12 February 2024,11 February 2024,10 February 2024,9 February 2024,8 February 2024,7 February 2024,6 February 2024,5 February 2024,4 February 2024,3 February 2024,2 February 2024,1 February 2024,Total
Sales,322.81,237.86,271.84,152.91,390.77,288.83,305.82,305.82,390.77,237.86,373.78,424.75,339.8,305.82,441.74,288.83,305.82,356.79,441.74,390.77,220.87,220.87,305.82,339.8,373.78,390.77,407.76,305.82,305.82,9446.44
    Organic,237.86,152.91,203.88,101.94,305.82,169.9,152.91,135.92,220.87,84.95,254.85,271.84,135.92,169.9,220.87,135.92,186.89,152.91,152.91,305.82,118.93,101.94,152.91,135.92,237.86,288.83,305.82,169.9,169.9,5436.8
    Sponsored Products (same day),84.95,84.95,67.96,50.97,84.95,118.93,152.91,169.9,169.9,152.91,118.93,152.91,203.88,135.92,220.87,152.91,118.93,203.88,288.83,84.95,101.94,118.93,152.91,203.88,135.92,101.94,101.94,135.92,135.92,4009.64
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,322.81,237.86,271.84,152.91,390.77,288.83,305.82,305.82,390.77,237.86,373.78,424.75,339.8,305.82,441.74,288.83,305.82,356.79,441.74,390.77,220.87,220.87,305.82,339.8,373.78,390.77,407.76,305.82,305.82,9446.44
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,19,14,16,9,23,17,18,19,23,14,22,25,20,19,26,17,18,21,26,23,13,13,18,20,22,23,24,18,18,558
    Organic,14,9,12,6,18,10,9,9,13,5,15,16,8,11,13,8,11,9,9,18,7,6,9,8,14,17,18,10,10,322
    Sponsored Products (same day),5,5,4,3,5,7,9,10,10,9,7,9,12,8,13,9,7,12,17,5,6,7,9,12,8,6,6,8,8,236
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,19,14,16,9,23,17,18,19,23,14,22,25,20,19,26,17,18,21,26,23,13,13,18,20,22,23,24,18,18,558
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
