Parameter/Date,31 August 2024,30 August 2024,29 August 2024,28 August 2024,27 August 2024,26 August 2024,25 August 2024,24 August 2024,23 August 2024,22 August 2024,21 August 2024,20 August 2024,19 August 2024,18 August 2024,17 August 2024,16 August 2024,15 August 2024,14 August 2024,13 August 2024,12 August 2024,11 August 2024,10 August 2024,9 August 2024,8 August 2024,7 August 2024,6 August 2024,5 August 2024,4 August 2024,3 August 2024,2 August 2024,1 August 2024,Total
Sales,118.93,67.96,118.93,135.92,67.96,186.89,424.75,203.88,33.98,101.94,169.9,135.92,152.91,356.79,152.91,152.91,50.97,84.95,16.99,33.98,101.94,152.91,50.97,84.95,67.96,220.87,67.96,237.86,118.93,50.97,33.98,3958.67
    Organic,118.93,67.96,118.93,135.92,67.96,186.89,424.75,203.88,33.98,101.94,169.9,135.92,152.91,356.79,152.91,152.91,50.97,84.95,16.99,33.98,101.94,152.91,50.97,84.95,67.96,220.87,67.96,237.86,118.93,50.97,33.98,3958.67
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,118.93,67.96,118.93,135.92,67.96,186.89,424.75,203.88,33.98,101.94,169.9,135.92,152.91,356.79,152.91,152.91,50.97,84.95,16.99,33.98,101.94,152.91,50.97,84.95,67.96,220.87,67.96,237.86,118.93,50.97,33.98,3958.67
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,7,4,7,8,4,11,26,12,2,6,10,8,9,21,9,9,3,5,1,2,6,9,3,5,4,13,4,14,7,3,2,234
    Organic,7,4,7,8,4,11,26,12,2,6,10,8,9,21,9,9,3,5,1,2,6,9,3,5,4,13,4,14,7,3,2,234
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,7,4,7,8,4,11,26,12,2,6,10,8,9,21,9,9,3,5,1,2,6,9,3,5,4,13,4,14,7,3,2,234
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
