Parameter/Date,31 March 2025,30 March 2025,29 March 2025,28 March 2025,27 March 2025,26 March 2025,25 March 2025,24 March 2025,23 March 2025,22 March 2025,21 March 2025,20 March 2025,19 March 2025,18 March 2025,17 March 2025,16 March 2025,15 March 2025,14 March 2025,13 March 2025,12 March 2025,11 March 2025,10 March 2025,9 March 2025,8 March 2025,7 March 2025,6 March 2025,5 March 2025,4 March 2025,3 March 2025,2 March 2025,1 March 2025,Total
Sales,0,19.98,0,0,0,0,0,0,0,0,0,0,9.99,29.97,9.99,0,0,9.99,9.99,0,29.97,9.99,0,0,0,0,9.99,0,0,0,0,139.86
    Organic,0,19.98,0,0,0,0,0,0,0,0,0,0,9.99,29.97,9.99,0,0,9.99,9.99,0,29.97,9.99,0,0,0,0,9.99,0,0,0,0,139.86
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,19.98,0,0,0,0,0,0,0,0,0,0,9.99,29.97,9.99,0,0,9.99,9.99,0,29.97,9.99,0,0,0,0,9.99,0,0,0,0,139.86
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,14
    Organic,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,14
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,14
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,-0.77,0,0,-0.77,0,0,0,0,0,0,0,0,-0.77,-0.77,0,0,0,0,0,0,0,0,-3.08
    Sponsored Products,0,0,0,0,0,0,0,0,0,-0.77,0,0,-0.77,0,0,0,0,0,0,0,0,-0.77,-0.77,0,0,0,0,0,0,0,0,-3.08
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
