Parameter/Date,31 May 2025,30 May 2025,29 May 2025,28 May 2025,27 May 2025,26 May 2025,25 May 2025,24 May 2025,23 May 2025,22 May 2025,21 May 2025,20 May 2025,19 May 2025,18 May 2025,17 May 2025,16 May 2025,15 May 2025,14 May 2025,13 May 2025,12 May 2025,11 May 2025,10 May 2025,9 May 2025,8 May 2025,7 May 2025,6 May 2025,5 May 2025,4 May 2025,3 May 2025,2 May 2025,1 May 2025,Total
Sales,62.93,26.97,35.96,62.93,49.95,49.95,49.95,87.2,49.95,49.95,19.98,49.95,39.96,49.95,19.98,29.97,29.97,39.96,39.96,39.96,69.93,69.93,39.96,49.95,39.96,59.94,109.89,49.95,79.92,59.94,19.98,1534.73
    Organic,35.96,17.98,35.96,44.95,40.96,49.95,49.95,87.2,29.97,49.95,19.98,39.96,29.97,39.96,19.98,19.98,29.97,29.97,39.96,39.96,69.93,69.93,39.96,39.96,29.97,49.95,89.91,39.96,69.93,49.95,19.98,1321.95
    Sponsored Products (same day),26.97,8.99,0,17.98,8.99,0,0,0,19.98,0,0,9.99,9.99,9.99,0,9.99,0,9.99,0,0,0,0,0,9.99,9.99,9.99,19.98,9.99,9.99,9.99,0,212.78
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,62.93,26.97,35.96,62.93,49.95,49.95,49.95,87.2,49.95,49.95,19.98,49.95,39.96,49.95,19.98,29.97,29.97,39.96,39.96,39.96,69.93,69.93,39.96,49.95,39.96,59.94,109.89,49.95,79.92,59.94,19.98,1534.73
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,7,3,4,7,5,5,5,8,5,5,2,5,4,5,2,3,3,4,4,4,7,7,4,5,4,6,11,5,8,6,2,155
    Organic,4,2,4,5,4,5,5,8,3,5,2,4,3,4,2,2,3,3,4,4,7,7,4,4,3,5,9,4,7,5,2,133
    Sponsored Products (same day),3,1,0,2,1,0,0,0,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,1,0,22
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
