Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Sales,35.96,35.96,80.91,98.89,35.96,53.94,71.92,53.94,35.96,44.95,17.98,53.94,80.91,89.9,80.91,53.94,63,80.91,71.92,62.93,89.9,98.89,71.92,152.83,206.77,71.92,98.89,89.9,71.92,80.91,71.92,2310.5
    Organic,35.96,35.96,80.91,98.89,26.97,53.94,71.92,53.94,26.97,44.95,17.98,53.94,80.91,89.9,80.91,35.96,54.01,62.93,71.92,53.94,71.92,89.9,62.93,143.84,161.82,62.93,71.92,62.93,71.92,62.93,62.93,2058.78
    Sponsored Products (same day),0,0,0,0,8.99,0,0,0,8.99,0,0,0,0,0,0,17.98,8.99,17.98,0,8.99,17.98,8.99,8.99,8.99,44.95,8.99,26.97,26.97,0,17.98,8.99,251.72
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,35.96,35.96,80.91,98.89,35.96,53.94,71.92,53.94,35.96,44.95,17.98,53.94,80.91,89.9,80.91,53.94,63,80.91,71.92,62.93,89.9,98.89,71.92,152.83,206.77,71.92,98.89,89.9,71.92,80.91,71.92,2310.5
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,4,4,9,11,4,6,8,6,4,5,2,6,9,10,9,6,7,9,8,7,10,11,8,17,23,8,11,10,8,9,8,257
    Organic,4,4,9,11,3,6,8,6,3,5,2,6,9,10,9,4,6,7,8,6,8,10,7,16,18,7,8,7,8,7,7,229
    Sponsored Products (same day),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0,1,2,1,1,1,5,1,3,3,0,2,1,28
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,4,4,9,11,4,6,8,6,4,5,2,6,9,10,9,6,7,9,8,7,10,11,8,17,23,8,11,10,8,9,8,257
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,-0.89,0,0,-1.4,-0.52,-0.36,-0.52,-1.71,-8.58,-9.68,-9.09,-17.45,-4.41,-14.16,-23.67,-13.92,-16.4,-9.2,-10.66,-19.11,-18.45,-8.99,-8.86,-8.64,-3.14,-6.4,-4.46,-220.67
    Sponsored Products,0,0,0,0,-0.89,0,0,-1.4,-0.52,-0.36,-0.52,-1.71,-8.58,-9.68,-9.09,-17.45,-4.41,-14.16,-23.67,-13.92,-16.4,-9.2,-10.66,-19.11,-18.45,-8.99,-8.86,-8.64,-3.14,-6.4,-4.46,-220.67
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
