Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
Sales,53.94,62.93,125.86,89.9,71.92,53.94,116.87,8.99,62.93,44.95,17.98,71.92,26.97,71.92,71.92,89.9,98.89,116.87,71.92,80.91,71.92,80.91,98.89,89.9,98.89,53.94,98.89,98.89,44.95,44.95,125.86,2319.42
    Organic,26.97,53.94,89.9,71.92,53.94,44.95,116.87,8.99,53.94,17.98,8.99,62.93,8.99,62.93,53.94,71.92,89.9,89.9,62.93,62.93,62.93,71.92,98.89,53.94,80.91,53.94,98.89,98.89,44.95,44.95,107.88,1932.85
    Sponsored Products (same day),26.97,8.99,35.96,17.98,17.98,8.99,0,0,8.99,26.97,8.99,8.99,17.98,8.99,17.98,17.98,8.99,26.97,8.99,17.98,8.99,8.99,0,35.96,17.98,0,0,0,0,0,17.98,386.57
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,53.94,62.93,125.86,89.9,71.92,53.94,116.87,8.99,62.93,44.95,17.98,71.92,26.97,71.92,71.92,89.9,98.89,116.87,71.92,80.91,71.92,80.91,98.89,89.9,98.89,53.94,98.89,98.89,44.95,44.95,125.86,2319.42
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,7,14,10,8,6,13,1,7,5,2,8,3,8,8,10,11,13,8,9,8,9,11,10,11,6,11,11,5,5,14,258
    Organic,3,6,10,8,6,5,13,1,6,2,1,7,1,7,6,8,10,10,7,7,7,8,11,6,9,6,11,11,5,5,12,215
    Sponsored Products (same day),3,1,4,2,2,1,0,0,1,3,1,1,2,1,2,2,1,3,1,2,1,1,0,4,2,0,0,0,0,0,2,43
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,7,14,10,8,6,13,1,7,5,2,8,3,8,8,10,11,13,8,9,8,9,11,10,11,6,11,11,5,5,14,258
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-16.82,-15.86,-25.93,-25.65,-25.24,-15.2,-16.97,-8.17,-12.76,-13.62,-13.04,-17.35,-12.13,-12.29,-13.3,-14.95,-13.16,-21.98,-25.68,-18.15,-4.16,-10.62,-0.84,-5.7,-6.56,-3.61,-2.61,-0.9,-3.6,-2.55,-8.71,-388.11
    Sponsored Products,-16.82,-15.86,-25.93,-25.65,-25.24,-15.2,-16.97,-8.17,-12.76,-13.62,-13.04,-17.35,-12.13,-12.29,-13.3,-14.95,-13.16,-21.98,-25.68,-18.15,-4.16,-10.62,-0.84,-5.7,-6.56,-3.61,-2.61,-0.9,-3.6,-2.55,-8.71,-388.11
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-15.82,-7.91,0,0,0,0,0,0,0,0,0,0,0,-7.91,0,-7.91,0,0,0,-7.91,0,0,0,0,-7.91,0,0,0,0,0,-55.37
    Refunded referral fee,0,2.7,1.35,0,0,0,0,0,0,0,0,0,0,0,1.35,0,1.35,0,0,0,1.35,0,0,0,0,1.35,0,0,0,0,0,9.45
    Refund commission,0,-0.54,-0.27,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,-0.27,0,0,0,-0.27,0,0,0,0,-0.27,0,0,0,0,0,-1.89
    Refunded amount,0,-17.98,-8.99,0,0,0,0,0,0,0,0,0,0,0,-8.99,0,-8.99,0,0,0,-8.99,0,0,0,0,-8.99,0,0,0,0,0,-62.93
Amazon fees,-27,-31.5,-63,-45,-37.04,-22.51,-58.5,-4.5,-31.5,-22.5,-9,-36,-13.5,-37.04,-36,-45,-49.5,-58.5,-37.04,-40.5,-36,-40.5,-49.5,-45,-66.55,-27,-49.5,-49.5,-22.5,-22.5,-63,-1176.68
    FBA per unit fulfilment fee,-18.9,-22.05,-44.1,-31.5,-25.2,-18.9,-40.95,-3.15,-22.05,-15.75,-6.3,-25.2,-9.45,-25.2,-25.2,-31.5,-34.65,-40.95,-25.2,-28.35,-25.2,-28.35,-34.65,-31.5,-34.65,-18.9,-34.65,-34.65,-15.75,-15.75,-44.1,-812.7
    Referral fee,-8.1,-9.45,-18.9,-13.5,-10.8,-8.1,-17.55,-1.35,-9.45,-6.75,-2.7,-10.8,-4.05,-10.8,-10.8,-13.5,-14.85,-17.55,-10.8,-12.15,-10.8,-12.15,-14.85,-13.5,-14.85,-8.1,-14.85,-14.85,-6.75,-6.75,-18.9,-348.3
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.05,0,0,0,0,0,0,-17.05
    FBA disposal fee,0,0,0,0,-1.04,0,0,0,0,0,0,0,0,-1.04,0,0,0,0,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,-3.12
    Reversal reimbursement,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49
Cost of goods,-8.64,-10.08,-20.16,-14.4,-11.52,-8.64,-18.72,-1.44,-10.08,-7.2,-2.88,-11.52,-4.32,-11.52,-11.52,-14.4,-15.84,-18.72,-11.52,-12.96,-11.52,-12.96,-15.84,-14.4,-15.84,-8.64,-15.84,-15.84,-7.2,-7.2,-20.16,-371.52
    Cost of goods sold,-8.64,-10.08,-20.16,-14.4,-11.52,-8.64,-18.72,-1.44,-10.08,-7.2,-2.88,-11.52,-4.32,-11.52,-11.52,-14.4,-15.84,-18.72,-11.52,-12.96,-11.52,-12.96,-15.84,-14.4,-15.84,-8.64,-15.84,-15.84,-7.2,-7.2,-20.16,-371.52
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
