Parameter/Date,30 June 2025,29 June 2025,28 June 2025,27 June 2025,26 June 2025,25 June 2025,24 June 2025,23 June 2025,22 June 2025,21 June 2025,20 June 2025,19 June 2025,18 June 2025,17 June 2025,16 June 2025,15 June 2025,14 June 2025,13 June 2025,12 June 2025,11 June 2025,10 June 2025,9 June 2025,8 June 2025,7 June 2025,6 June 2025,5 June 2025,4 June 2025,3 June 2025,2 June 2025,1 June 2025,Total
Sales,53.94,71.92,17.98,26.97,35.96,26.97,44.95,71.92,80.91,71.92,35.96,71.92,107.88,71.92,44.95,44.95,35.96,80.91,44.95,71.92,62.93,35.96,53.94,44.95,53.94,8.99,17.98,35.96,53.94,26.97,1510.32
    Organic,35.96,62.93,8.99,26.97,26.97,17.98,44.95,53.94,71.92,53.94,26.97,53.94,89.9,62.93,44.95,35.96,26.97,71.92,35.96,71.92,53.94,35.96,35.96,44.95,35.96,8.99,17.98,35.96,53.94,17.98,1267.59
    Sponsored Products (same day),17.98,8.99,8.99,0,8.99,8.99,0,17.98,8.99,17.98,8.99,17.98,17.98,8.99,0,8.99,8.99,8.99,8.99,0,8.99,0,17.98,0,17.98,0,0,0,0,8.99,242.73
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,53.94,71.92,17.98,26.97,35.96,26.97,44.95,71.92,80.91,71.92,35.96,71.92,107.88,71.92,44.95,44.95,35.96,80.91,44.95,71.92,62.93,35.96,53.94,44.95,53.94,8.99,17.98,35.96,53.94,26.97,1510.32
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,8,2,3,4,3,5,8,9,8,4,8,12,8,5,5,4,9,5,8,7,4,6,5,6,1,2,4,6,3,168
    Organic,4,7,1,3,3,2,5,6,8,6,3,6,10,7,5,4,3,8,4,8,6,4,4,5,4,1,2,4,6,2,141
    Sponsored Products (same day),2,1,1,0,1,1,0,2,1,2,1,2,2,1,0,1,1,1,1,0,1,0,2,0,2,0,0,0,0,1,27
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,8,2,3,4,3,5,8,9,8,4,8,12,8,5,5,4,9,5,8,7,4,6,5,6,1,2,4,6,3,168
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
