Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
Sales,44.95,98.89,62.93,17.98,53.94,80.91,62.93,89.9,53.94,71.92,44.95,53.94,71.92,35.96,62.93,44.95,44.95,80.91,35.96,116.87,62.93,26.97,35.96,26.97,53.94,17.98,89.9,53.94,26.97,44.95,53.94,1726.08
    Organic,26.97,80.91,62.93,17.98,44.95,71.92,53.94,89.9,44.95,62.93,26.97,44.95,62.93,35.96,44.95,35.96,35.96,71.92,26.97,107.88,53.94,17.98,35.96,26.97,35.96,17.98,89.9,44.95,26.97,44.95,44.95,1492.34
    Sponsored Products (same day),17.98,17.98,0,0,8.99,8.99,8.99,0,8.99,8.99,17.98,8.99,8.99,0,17.98,8.99,8.99,8.99,8.99,8.99,8.99,8.99,0,0,17.98,0,0,8.99,0,0,8.99,233.74
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,44.95,98.89,62.93,17.98,53.94,80.91,62.93,89.9,53.94,71.92,44.95,53.94,71.92,35.96,62.93,44.95,44.95,80.91,35.96,116.87,62.93,26.97,35.96,26.97,53.94,17.98,89.9,53.94,26.97,44.95,53.94,1726.08
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,5,11,7,2,6,9,7,10,6,9,5,6,9,4,7,5,5,9,4,13,7,3,4,3,6,2,10,6,3,5,6,194
    Organic,3,9,7,2,5,8,6,10,5,8,3,5,8,4,5,4,4,8,3,12,6,2,4,3,4,2,10,5,3,5,5,168
    Sponsored Products (same day),2,2,0,0,1,1,1,0,1,1,2,1,1,0,2,1,1,1,1,1,1,1,0,0,2,0,0,1,0,0,1,26
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,5,11,7,2,6,9,7,10,6,9,5,6,9,4,7,5,5,9,4,13,7,3,4,3,6,2,10,6,3,5,6,194
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-8.1,-5.4,-4.2,-10.78,-10.84,-10.31,-13.68,-12.82,-12.94,-14.14,-11.7,-12.02,-5.27,-7.97,-10.8,-5.26,-4.5,-10.26,-5.21,-5.36,-4.5,-6.17,-7.2,-5.4,-5.18,-4.37,-10.3,-3.6,-8.85,-4.5,-4.91,-246.54
    Sponsored Products,-8.1,-5.4,-4.2,-10.78,-10.84,-10.31,-13.68,-12.82,-12.94,-14.14,-11.7,-12.02,-5.27,-7.97,-10.8,-5.26,-4.5,-10.26,-5.21,-5.36,-4.5,-6.17,-7.2,-5.4,-5.18,-4.37,-10.3,-3.6,-8.85,-4.5,-4.91,-246.54
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,-7.91,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,-7.91,0,0,-7.91,-7.91,0,0,0,0,0,0,-30.2
    Refunded referral fee,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,1.35,1.35,0,0,0,0,0,0,5.4
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44
    Refund commission,0,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,-0.27,-0.27,0,0,0,0,0,0,-1.08
    Refunded amount,0,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99,0,0,-8.99,-8.99,0,0,0,0,0,0,-35.96
Amazon fees,-21.3,-46.86,-29.82,-8.52,-25.56,-38.34,-29.82,-42.6,-25.56,-34.08,-21.3,-25.56,-34.08,-17.04,-29.82,-21.3,-21.3,-38.57,-17.04,-55.38,-29.82,-12.78,-12.31,-12.78,-25.56,-10.08,-42.6,-25.56,-9.88,-21.3,-22.66,-809.18
    FBA per unit fulfilment fee,-14.55,-32.01,-20.37,-5.82,-17.46,-26.19,-20.37,-29.1,-17.46,-23.28,-14.55,-17.46,-23.28,-11.64,-20.37,-14.55,-14.55,-26.19,-11.64,-37.83,-20.37,-8.73,-11.64,-8.73,-17.46,-5.82,-29.1,-17.46,-8.73,-14.55,-17.46,-558.72
    Referral fee,-6.75,-14.85,-9.45,-2.7,-8.1,-12.15,-9.45,-13.5,-8.1,-10.8,-6.75,-8.1,-10.8,-5.4,-9.45,-6.75,-6.75,-12.15,-5.4,-17.55,-9.45,-4.05,-5.4,-4.05,-8.1,-2.7,-13.5,-8.1,-4.05,-6.75,-8.1,-259.2
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.46,0,0,0,0,0,-4.46
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,4.73
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,2.9,0,2.9,8.7
Cost of goods,-7.2,-15.84,-10.08,-2.88,-8.64,-12.96,-10.08,-14.4,-8.64,-12.96,-7.2,-8.64,-12.96,-5.76,-10.08,-7.2,-7.2,-12.96,-5.76,-18.72,-10.08,-4.32,-5.76,-4.32,-8.64,-4.32,-14.4,-8.64,-5.76,-7.2,-10.08,-283.68
    Cost of goods sold,-7.2,-15.84,-10.08,-2.88,-8.64,-12.96,-10.08,-14.4,-8.64,-12.96,-7.2,-8.64,-12.96,-5.76,-10.08,-7.2,-7.2,-12.96,-5.76,-18.72,-10.08,-4.32,-5.76,-4.32,-8.64,-2.88,-14.4,-8.64,-4.32,-7.2,-8.64,-279.36
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
