Parameter/Date,30 September 2024,29 September 2024,28 September 2024,27 September 2024,26 September 2024,25 September 2024,24 September 2024,23 September 2024,22 September 2024,21 September 2024,20 September 2024,19 September 2024,18 September 2024,17 September 2024,16 September 2024,15 September 2024,14 September 2024,13 September 2024,12 September 2024,11 September 2024,10 September 2024,9 September 2024,8 September 2024,7 September 2024,6 September 2024,5 September 2024,4 September 2024,3 September 2024,2 September 2024,1 September 2024,Total
Sales,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,33.98,0,0,84.95
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,33.98,0,0,84.95
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,33.98,0,0,84.95
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon fees,0,0,0,0,0,0,0,0,0,0,0,0,-6.98,0,0,-6.98,0,0,0,0,0,0,0,0,0,0,-6.98,-13.68,0,0,-34.62
    FBA per unit fulfilment fee,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,0,0,-4.43,0,0,0,0,0,0,0,0,0,0,-4.43,-8.58,0,0,-21.87
    Referral fee,0,0,0,0,0,0,0,0,0,0,0,0,-2.55,0,0,-2.55,0,0,0,0,0,0,0,0,0,0,-2.55,-5.1,0,0,-12.75
Cost of goods,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,-1.44,-2.88,0,0,-7.2
    Cost of goods sold,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,-1.44,-2.88,0,0,-7.2
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,8.57,0,0,0,0,0,0,0,0,0,0,8.57,17.42,0,0,43.13
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,8.57,0,0,0,0,0,0,0,0,0,0,8.57,17.42,0,0,43.13
Estimated payout,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,10.01,0,0,0,0,0,0,0,0,0,0,10.01,20.3,0,0,50.33
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.44%,0%,0%,50.44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.44%,51.27%,0%,0%,50.77%
ROI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,595.14%,0%,0%,595.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,595.14%,604.86%,0%,0%,599.03%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,2,7,6,3,5,5,5,2,6,2,4,2,2,5,6,5,0,1,6,2,2,3,81
    Browser sessions,0,0,0,0,0,0,0,0,1,3,3,3,4,4,2,1,3,1,3,2,2,3,1,5,0,1,3,0,1,3,49
    Mobile app sessions,0,0,0,0,0,0,0,0,1,4,3,0,1,1,3,1,3,1,1,0,0,2,5,0,0,0,3,2,1,0,32
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,100%,0%,0%,6.17%
